suite,task_id,english,vietnamese
libero_spatial,0,pick up the black bowl between the plate and the ramekin and place it on the plate,nhấc cái bát đen ở giữa cái đĩa và cái chén nhỏ lên rồi đặt nó lên đĩa
libero_spatial,1,pick up the black bowl next to the ramekin and place it on the plate,nhấc cái bát đen bên cạnh cái chén nhỏ lên rồi đặt nó lên đĩa
libero_spatial,2,pick up the black bowl from table center and place it on the plate,nhấc cái bát đen ở giữa bàn lên rồi đặt nó lên đĩa
libero_spatial,3,pick up the black bowl on the cookie box and place it on the plate,nhấc cái bát đen trên hộp bánh quy lên rồi đặt nó lên đĩa
libero_spatial,4,pick up the black bowl in the top drawer of the wooden cabinet and place it on the plate,nhấc cái bát đen trong ngăn kéo trên cùng của tủ gỗ lên rồi đặt nó lên đĩa
libero_spatial,5,pick up the black bowl on the ramekin and place it on the plate,nhấc cái bát đen trên cái chén nhỏ lên rồi đặt nó lên đĩa
libero_spatial,6,pick up the black bowl next to the cookie box and place it on the plate,nhấc cái bát đen bên cạnh hộp bánh quy lên rồi đặt nó lên đĩa
libero_spatial,7,pick up the black bowl on the stove and place it on the plate,nhấc cái bát đen trên bếp lên rồi đặt nó lên đĩa
libero_spatial,8,pick up the black bowl next to the plate and place it on the plate,nhấc cái bát đen bên cạnh đĩa lên rồi đặt nó lên đĩa
libero_spatial,9,pick up the black bowl on the wooden cabinet and place it on the plate,nhấc cái bát đen trên tủ gỗ lên rồi đặt nó lên đĩa
libero_object,0,pick up the alphabet soup and place it in the basket,nhấc hộp súp chữ cái lên rồi đặt vào giỏ
libero_object,1,pick up the cream cheese and place it in the basket,nhấc hộp phô mai kem lên rồi đặt vào giỏ
libero_object,2,pick up the salad dressing and place it in the basket,nhấc chai sốt salad lên rồi đặt vào giỏ
libero_object,3,pick up the bbq sauce and place it in the basket,nhấc chai sốt bbq lên rồi đặt vào giỏ
libero_object,4,pick up the ketchup and place it in the basket,nhấc chai tương cà lên rồi đặt vào giỏ
libero_object,5,pick up the tomato sauce and place it in the basket,nhấc chai sốt cà chua lên rồi đặt vào giỏ
libero_object,6,pick up the butter and place it in the basket,nhấc hộp bơ lên rồi đặt vào giỏ
libero_object,7,pick up the milk and place it in the basket,nhấc hộp sữa lên rồi đặt vào giỏ
libero_object,8,pick up the chocolate pudding and place it in the basket,nhấc hộp bánh pudding sô-cô-la lên rồi đặt vào giỏ
libero_object,9,pick up the orange juice and place it in the basket,nhấc hộp nước cam lên rồi đặt vào giỏ
libero_goal,0,open the middle drawer of the cabinet,mở ngăn kéo giữa của tủ
libero_goal,1,put the bowl on the stove,đặt cái bát lên bếp
libero_goal,2,put the wine bottle on top of the cabinet,đặt chai rượu vang lên trên tủ
libero_goal,3,open the top drawer and put the bowl inside,mở ngăn kéo trên cùng và đặt cái bát vào bên trong
libero_goal,4,put the bowl on top of the cabinet,đặt cái bát lên trên tủ
libero_goal,5,push the plate to the front of the stove,đẩy cái đĩa ra phía trước bếp
libero_goal,6,put the cream cheese in the bowl,đặt phô mai kem vào bát
libero_goal,7,turn on the stove,bật bếp lên
libero_goal,8,put the bowl on the plate,đặt cái bát lên đĩa
libero_goal,9,put the wine bottle on the rack,đặt chai rượu vang lên giá
libero_10,0,put both the alphabet soup and the tomato sauce in the basket,đặt cả hộp súp chữ cái và chai sốt cà chua vào giỏ
libero_10,1,put both the cream cheese box and the butter in the basket,đặt cả hộp phô mai kem và hộp bơ vào giỏ
libero_10,2,turn on the stove and put the moka pot on it,bật bếp lên rồi đặt bình pha cà phê moka lên đó
libero_10,3,put the black bowl in the bottom drawer of the cabinet and close it,đặt cái bát đen vào ngăn kéo dưới cùng của tủ rồi đóng lại
libero_10,4,put the white mug on the left plate and put the yellow and white mug on the right plate,đặt cốc trắng lên đĩa bên trái và đặt cốc vàng trắng lên đĩa bên phải
libero_10,5,pick up the book and place it in the back compartment of the caddy,nhấc quyển sách lên và đặt vào ngăn phía sau của giỏ đựng đồ
libero_10,6,put the white mug on the plate and put the chocolate pudding to the right of the plate,đặt cốc trắng lên đĩa và đặt bánh pudding sô-cô-la sang bên phải đĩa
libero_10,7,put both the alphabet soup and the cream cheese box in the basket,đặt cả hộp súp chữ cái và hộp phô mai kem vào giỏ
libero_10,8,put both moka pots on the stove,đặt cả hai bình pha cà phê moka lên bếp
libero_10,9,put the yellow and white mug in the microwave and close it,đặt cốc vàng trắng vào lò vi sóng rồi đóng lại
